"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),계,농업생산,농업생산,농업생산,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,계,농업생산,농업생산,농업생산,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,계,농업생산,농업생산,농업생산,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업,농업생산이외 사업
"특성별(1)",특성별(2),소계,소계,작물재배업,축산업,소계,농축산물가공업,농축산물유통업(도소매업),농업서비스업,농어촌관광휴양사업,기타사업,소계,소계,작물재배업,축산업,소계,농축산물가공업,농축산물유통업(도소매업),농업서비스업,농어촌관광휴양사업,기타사업,소계,소계,작물재배업,축산업,소계,농축산물가공업,농축산물유통업(도소매업),농업서비스업,농어촌관광휴양사업,기타사업
"조직형태별",영농조합법인,10163,3675,2979,696,6488,1968,2691,452,582,795,10230,4080,3354,726,6150,1933,2580,360,557,719,10136,3982,3304,678,6154,1830,2560,286,613,865
"조직형태별",농업회사법인,11617,3497,2777,720,8120,2549,4046,319,308,899,13085,4060,3333,727,9025,2994,4635,238,331,828,14363,4489,3707,782,9874,3263,5041,219,363,988
"지역별",서울특별시,401,67,64,3,334,30,253,20,7,24,420,87,84,3,333,38,269,1,6,19,432,91,85,6,341,44,275,2,3,17
"지역별",부산광역시,157,58,51,7,99,11,70,3,3,12,163,56,50,5,107,19,78,0,2,9,179,79,78,1,100,18,68,0,2,12
"지역별",대구광역시,193,49,44,5,144,35,95,3,3,8,226,58,55,3,168,41,117,1,1,8,221,36,35,1,185,45,124,0,2,14
"지역별",인천광역시,287,65,60,5,222,55,144,5,11,8,317,70,63,7,247,85,136,0,13,13,322,75,65,10,247,99,117,2,14,15
"지역별",광주광역시,329,57,50,7,272,58,182,9,3,20,374,95,88,7,279,62,185,4,1,27,398,81,74,7,317,67,224,3,3,19
"지역별",대전광역시,226,59,50,9,167,51,95,1,9,11,241,60,51,9,181,61,99,3,12,7,245,61,50,11,184,57,101,8,10,7
"지역별",울산광역시,102,37,25,12,65,14,21,4,16,11,103,41,33,8,62,9,29,2,6,15,117,56,46,10,61,9,29,1,6,17
"지역별",세종특별자치시,131,39,34,5,92,30,40,3,6,12,140,37,33,5,103,40,32,9,4,18,160,41,37,5,119,57,27,4,26,5
"지역별",경기도,3341,1129,909,219,2212,494,1216,95,159,248,3590,1104,913,191,2486,627,1431,43,158,227,3770,1224,999,226,2546,678,1447,28,168,224
"지역별",강원도,1524,479,399,80,1045,361,391,20,158,115,1604,493,408,85,1111,389,414,30,185,92,1681,650,545,105,1031,327,368,21,167,148
"지역별",충청북도,1376,403,307,95,973,297,464,26,67,119,1460,492,393,99,968,346,459,21,81,62,1518,472,381,91,1046,389,499,21,88,50
"지역별",충청남도,2363,890,681,209,1473,531,531,107,90,213,2562,1023,795,228,1539,596,598,109,98,137,2722,1095,879,216,1627,598,664,99,140,125
"지역별",전라북도,2588,850,678,171,1738,710,652,128,78,170,2781,995,818,177,1786,707,736,85,85,173,2906,927,765,162,1979,742,815,66,75,280
"지역별",전라남도,3613,1359,1105,254,2254,777,893,187,97,299,3813,1571,1304,267,2242,787,904,181,108,262,4023,1533,1271,262,2490,779,1077,183,116,336
"지역별",경상북도,2399,643,492,151,1756,560,857,70,88,180,2607,744,573,171,1863,608,912,75,62,206,2747,769,614,156,1978,623,935,24,80,316
"지역별",경상남도,1683,528,435,94,1155,365,488,69,72,160,1798,701,607,93,1097,374,467,18,42,196,1881,757,655,101,1124,412,450,26,54,183
"지역별",제주특별자치도,1067,461,373,89,606,138,343,19,25,80,1116,512,418,94,604,139,349,17,22,77,1177,525,434,92,652,149,379,18,20,86
"종사자규모별",1인 이하,8301,2905,2500,406,5396,1443,2545,314,357,737,8162,3260,2879,381,4902,1410,2353,235,332,572,8339,3297,2912,386,5042,1429,2335,193,340,744
"종사자규모별",2~4인,6954,2246,1826,420,4708,1420,2192,247,346,503,7552,2446,2018,428,5106,1542,2526,175,327,537,8802,2855,2392,464,5947,1743,2988,167,424,624
"종사자규모별",5~9인,4286,1394,1057,337,2892,960,1305,176,132,319,5121,1730,1350,381,3391,1189,1558,161,161,322,5163,1682,1304,378,3481,1217,1602,128,156,377
"종사자규모별",10~49인,2105,592,353,239,1513,643,651,33,54,132,2325,660,411,250,1665,718,740,27,67,112,2075,601,383,218,1474,654,645,16,55,104
